DateKey,ProductKey,CustomerKey,RegionKey,SalespersonKey,DepartmentKey,CurrencyKey,Quantity,Revenue,Cost,Profit,Budget,Forecast,ProductCode,ProductName,Category,StandardCost,ListPrice,CustomerCode,CustomerName,CustomerType,Industry,City,Country,CustomerSince,IsActive
20246737,168,2895,5,20,1,1,9,4537.84,3263.11,1274.73,4339.04,4403.51,P0168,Fuel Systems Product 168,Fuel Systems,192,876,C02895,Sanders LLC,OEM,Manufacturing,North Richard,Spain,2017-04-11,1
20245975,52,2570,5,39,9,1,2,2738.95,2278.89,460.06,2636.63,2622.44,P0052,Fuel Systems Product 52,Fuel Systems,458,683,C02570,"Cross, Fisher and Rivas",Distributor,Automotive,Morganburgh,Italy,2020-07-20,1
20227683,427,168,7,113,8,3,14,4958.28,3476.83,1481.45,4828.87,5063.67,P0427,Sensors Product 427,Sensors,314,409,C00168,Oliver LLC,OEM,Manufacturing,Pamelaburgh,Germany,2025-11-28,1
20248072,282,1956,1,117,10,5,8,2785.55,1832.58,952.97,2873.35,3048.32,P0282,Sensors Product 282,Sensors,228,207,C01956,Doyle Group,Distributor,Automotive,South Courtneyland,Netherlands,2017-08-02,1
20225959,34,4805,3,81,4,3,14,1216.23,855.86,360.37,1166.6,1221.26,P0034,Fuel Systems Product 34,Fuel Systems,67,719,C04805,Jones LLC,OEM,Transportation,South Derekton,Germany,2019-09-19,1
20250047,359,1107,1,51,8,2,12,3574.25,2409.85,1164.4,3473.64,3598.13,P0359,Filtration Product 359,Filtration,54,841,C01107,"Price, Nolan and Vasquez",OEM,Manufacturing,Juanberg,Belgium,2021-06-22,1
20251321,122,168,2,20,5,3,13,2898.64,2098.6,800.04,2852.97,3049.39,P0122,Electronics Product 122,Electronics,164,537,C00168,Oliver LLC,OEM,Manufacturing,Pamelaburgh,Germany,2025-11-28,1
20259360,72,3481,2,76,7,5,5,2546.98,1698.27,848.71,2575.91,2526.25,P0072,Filtration Product 72,Filtration,99,254,C03481,"Watts, Blake and Edwards",Distributor,Automotive,East Tiffany,Austria,2025-12-11,1
20233611,345,4237,8,10,10,5,10,4175.39,3062.47,1112.92,4056.45,4242.09,P0345,Electronics Product 345,Electronics,104,632,C04237,Chaney Group,OEM,Manufacturing,Brandonfurt,Poland,2020-10-07,1
20225203,231,1723,9,28,3,3,9,2530.31,1680.39,849.92,2506.18,2479.41,P0231,Fuel Systems Product 231,Fuel Systems,293,699,C01723,"Miller, Collins and Smith",OEM,Transportation,West William,Austria,2018-10-08,1
20247919,292,250,1,109,5,3,20,636.46,384.48,251.98,650.71,655.57,P0292,Aftertreatment Product 292,Aftertreatment,465,130,C00250,"Thomas, Newman and Beltran",OEM,Manufacturing,Blaketon,Sweden,2019-05-16,1
20241498,384,913,10,49,5,2,18,3684.34,2833.6,850.74,3824.17,3774.13,P0384,Filtration Product 384,Filtration,443,820,C00913,Wright PLC,Distributor,Automotive,Melissaland,Poland,2017-04-15,1
20240388,64,2512,4,64,10,4,8,4480.92,2837.97,1642.95,4334.71,4487.32,P0064,Cooling Systems Product 64,Cooling Systems,430,732,C02512,Saunders-Allen,Fleet,Transportation,South Natalie,Belgium,2021-02-24,1
20222777,283,290,5,25,1,2,5,2384.55,1665.1,719.45,2323.9,2283.83,P0283,Electronics Product 283,Electronics,313,844,C00290,"Mccoy, Elliott and Bennett",OEM,Automotive,Robertmouth,Germany,2018-11-07,1
20254845,214,2242,3,117,1,1,20,1991.55,1253.65,737.9,2058.56,2098.38,P0214,Cooling Systems Product 214,Cooling Systems,448,206,C02242,Tran and Sons,OEM,Manufacturing,Martinville,Poland,2018-06-14,1
20236580,283,2335,2,89,9,4,14,3996.16,3059.41,936.75,3908.94,4246.31,P0283,Electronics Product 283,Electronics,313,844,C02335,"Mccormick, Lambert and Rivera",Distributor,Manufacturing,Tylerbury,France,2019-07-08,1
20239316,13,2569,5,56,10,4,5,4426.45,3250.4,1176.05,4265.67,4238.82,P0013,Turbochargers Product 13,Turbochargers,289,541,C02569,Bryan-Ramos,Fleet,Manufacturing,Mendezfort,Spain,2026-02-27,1
20243540,457,1838,2,61,6,4,8,4471.15,3932.04,539.11,4301.5,4560.65,P0457,Filtration Product 457,Filtration,213,262,C01838,Buchanan Group,Distributor,Transportation,North Trevortown,Italy,2021-07-16,1
20239395,266,4436,2,107,3,3,2,1471.18,900.3,570.88,1472.3,1435.63,P0266,Aftertreatment Product 266,Aftertreatment,134,114,C04436,"Jackson, Meyers and Rogers",Distributor,Automotive,Mezastad,Spain,2025-07-25,1
20243689,108,4524,9,64,8,1,4,4403.22,2927.23,1475.99,4485.35,4581.01,P0108,Aftertreatment Product 108,Aftertreatment,472,808,C04524,Reyes and Sons,Distributor,Automotive,Port Robin,Italy,2023-05-29,1
20223779,476,4089,2,78,9,2,1,2285.26,1376.78,908.48,2342.26,2278.81,P0476,Sensors Product 476,Sensors,212,959,C04089,Davis Group,OEM,Transportation,Lopezbury,Spain,2024-01-25,1
20234594,389,2186,5,75,6,2,14,3814.28,2572.34,1241.94,3988.13,3811.03,P0389,Aftertreatment Product 389,Aftertreatment,339,386,C02186,"Clark, King and House",Distributor,Transportation,Saratown,France,2024-08-11,1
20238498,81,2395,8,115,2,5,20,1761.01,1407.43,353.58,1782.27,1808.38,P0081,Cooling Systems Product 81,Cooling Systems,246,679,C02395,"Schneider, Powers and Hensley",Fleet,Manufacturing,Lake Adamberg,Netherlands,2024-07-28,1
20258576,240,1613,9,40,5,3,6,1089.74,854.65,235.09,1051.76,1053.5,P0240,Turbochargers Product 240,Turbochargers,89,780,C01613,Patrick Ltd,OEM,Automotive,Evansville,Poland,2017-11-01,1
20223624,482,4336,9,54,1,5,17,964.57,624.46,340.11,1000.56,1045.08,P0482,Sensors Product 482,Sensors,192,982,C04336,"Arnold, Smith and Davis",Fleet,Automotive,North Josephton,Sweden,2018-06-26,1
20222134,166,2726,8,94,6,1,8,1593.89,1342.72,251.17,1555.95,1668.47,P0166,Filtration Product 166,Filtration,399,723,C02726,"Blake, Graham and Farmer",Fleet,Transportation,West Kathrynville,Belgium,2018-07-02,1
20254592,307,3460,8,45,10,5,19,1093.76,852.6,241.16,1138.16,1140.54,P0307,Fuel Systems Product 307,Fuel Systems,324,670,C03460,Walker PLC,OEM,Automotive,Bradburgh,France,2022-05-22,1
20230945,254,4684,4,50,10,2,14,4317.13,3763.37,553.76,4469.62,4410.41,P0254,Sensors Product 254,Sensors,174,101,C04684,Cross Ltd,Fleet,Manufacturing,South Joanfurt,Spain,2023-09-08,1
20243969,209,2267,1,114,10,3,1,4660.22,2950.59,1709.63,4868.7,5047.55,P0209,Sensors Product 209,Sensors,299,388,C02267,Berg Ltd,OEM,Manufacturing,East Jennifer,Germany,2024-12-07,1
20225552,270,3886,3,61,4,4,9,560.37,363.42,196.95,560.3,573.79,P0270,Filtration Product 270,Filtration,334,441,C03886,"Chandler, Pitts and Nguyen",Fleet,Automotive,Jacksonmouth,Poland,2023-05-12,1
20234027,377,4404,5,113,8,4,20,4498.35,3335.3,1163.05,4460.39,4294.31,P0377,Electronics Product 377,Electronics,179,258,C04404,Frye Group,OEM,Automotive,Lake Vanessa,Belgium,2017-11-11,1
